antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Congestion=Severe,"DayType=Weekday, Time=Morning, Weather=Normal",0.24995686999383857,0.11539125077017869,0.06743068391866913,0.2697692762768685,2.3378659515023363,1.0,0.038587848051481154,1.2114099290695177,0.7629687629406597,0.22634017207147586,0.17451559872214464,0.42706746598977985
"Time=Afternoon, Weather=Normal",Congestion=Severe,0.18725816389402342,0.24995686999383857,0.10881084411583487,0.5810739668333772,2.324696924104149,1.0,0.062004379588091546,1.7903951309415063,0.7011284195433098,0.33133208255159474,0.4414640753216666,0.508196222225602
Congestion=Severe,"Time=Afternoon, Weather=Normal",0.24995686999383857,0.18725816389402342,0.10881084411583487,0.4353184776178269,2.324696924104149,1.0,0.062004379588091546,1.4392924221733572,0.7597381753780347,0.33133208255159474,0.30521415621018666,0.508196222225602
"Congestion=Severe, DayType=Weekday","Time=Afternoon, Weather=Normal",0.24120764017252003,0.18725816389402342,0.10264941466420209,0.425564524369061,2.2726086570511517,1.0,0.05748131484828571,1.4148531394466726,0.7379845455136713,0.31505295007564293,0.2932128627914804,0.48686754778600455
"Time=Afternoon, Weather=Normal","Congestion=Severe, DayType=Weekday",0.18725816389402342,0.24120764017252003,0.10264941466420209,0.5481705712029481,2.2726086570511512,1.0,0.05748131484828571,1.679377905612931,0.6889974281249024,0.31505295007564293,0.40454140985317716,0.48686754778600455
Time=Afternoon,Congestion=Severe,0.24882316697473814,0.24995686999383857,0.14060382008626002,0.5650752773375595,2.260691123838639,1.0,0.07840876008730022,1.7245355136739253,0.7423783200507676,0.39255487511181447,0.4201337159652836,0.5637938011613848
Congestion=Severe,Time=Afternoon,0.24995686999383857,0.24882316697473814,0.14060382008626002,0.5625123249852101,2.260691123838639,1.0,0.07840876008730022,1.7170239893040808,0.7435004375785281,0.39255487511181447,0.4175969548303717,0.5637938011613848
"Congestion=Severe, DayType=Weekday",Time=Afternoon,0.24120764017252003,0.24882316697473814,0.13281577325939617,0.5506283845918054,2.21293053732295,1.0,0.07279772433316667,1.6716161129645832,0.7223458781069508,0.37180902442389946,0.4017765249782638,0.5422020686825905
Time=Afternoon,"Congestion=Severe, DayType=Weekday",0.24882316697473814,0.24120764017252003,0.13281577325939617,0.5337757527733755,2.21293053732295,1.0,0.07279772433316667,1.6275265912084633,0.7296691130009777,0.37180902442389946,0.38557071484928257,0.5422020686825905
"DayType=Weekday, Time=Morning","Congestion=Severe, Weather=Normal",0.1768576709796673,0.17998767714109673,0.06743068391866913,0.38127090301003347,2.1183167040438327,1.0,0.03559848253445446,1.3253172137016869,0.6413557397190692,0.23298986630332966,0.24546365982303764,0.3779557308422754
